product_id,product_url,name,discount,discounted_price,original_price,total_reviews,product_info,availability
471247605,https://www.dresslily.com/volcano-cat-pattern-casual-front-product8351860.html,Volcano Cat Pattern Casual Front Pocket Hoodie,41%,"27,26€","46,22€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Spandex "", ""Thickness"": "" Regular "", ""Patterns"": "" Animal "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,1
471246806,https://www.dresslily.com/oil-paint-mona-lisa-pattern-product8351855.html,Oil Paint Mona Lisa Pattern Front Pocket Lounge Hoodie,32%,"27,26€","40,32€",2,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Spandex "", ""Thickness"": "" Regular "", ""Patterns"": "" Painting "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,3
471686202,https://www.dresslily.com/halloween-graffiti-pumpkin-print-leisure-product8352065.html,Halloween Graffiti Pumpkin Print Leisure Pullover Hoodie,45%,"27,26€","49,62€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Halloween "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Spandex "", ""Thickness"": "" Regular "", ""Patterns"": "" Animal,Letter,Pumpkin "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,1
471051505,https://www.dresslily.com/geometric-pattern-wood-grain-print-product8352496.html,Geometric Pattern Wood Grain Print Casual Hoodie,47%,"27,26€","51,12€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester "", ""Fabric Stretch"": "" No Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Print "", ""Season"": "" Fall,Spring,Winter "", ""Weight"": "" 0.6500kg "", ""Package Contents"": "" 1 x Hoodie """,3
471054706,https://www.dresslily.com/colorful-diamond-geo-print-front-product8352502.html,Colorful Diamond Geo Print Front Pocket Hoodie,47%,"27,26€","51,64€",1,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester "", ""Fabric Stretch"": "" No Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Geometric "", ""Season"": "" Fall,Spring,Winter "", ""Weight"": "" 0.6000kg "", ""Package Contents"": "" 1 x Hoodie """,1
471622904,https://www.dresslily.com/3d-piano-print-kangaroo-pocket-product8352555.html,3D Piano Print Kangaroo Pocket Hoodie,47%,"27,26€","51,31€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Thickness"": "" Regular "", ""Patterns"": "" 3D Print "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5200kg "", ""Package Contents"": "" 1 x Hoodie """,2
471609705,https://www.dresslily.com/starry-sky-flower-print-kangaroo-product8353007.html,Starry Sky Flower Print Kangaroo Pocket Hoodie,48%,"27,26€","52,30€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Thickness"": "" Regular "", ""Patterns"": "" 3D Print,Floral,Galaxy "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5250kg "", ""Package Contents"": "" 1 x Hoodie """,2
471602401,https://www.dresslily.com/galaxy-print-front-pocket-hoodie-product8353421.html,Galaxy Print Front Pocket Hoodie,36%,"27,26€","42,77€",1,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Thickness"": "" Regular "", ""Patterns"": "" Galaxy "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5500kg "", ""Package Contents"": "" 1 x Hoodie """,4
473352906,https://www.dresslily.com/contrast-circle-print-kangaroo-pocket-product8354136.html,Contrast Circle Print Kangaroo Pocket Hoodie,53%,"23,50€","49,62€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Others "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.4900kg "", ""Package Contents"": "" 1 x Hoodie """,1
473355601,https://www.dresslily.com/fire-animal-print-kangaroo-pocket-product8354143.html,Fire Animal Print Kangaroo Pocket Hoodie,50%,"23,50€","46,83€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Animal "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.4900kg "", ""Package Contents"": "" 1 x Hoodie """,3
471617202,https://www.dresslily.com/floral-cattle-graphic-front-pocket-product8353427.html,Floral Cattle Graphic Front Pocket Drawstring Hoodie,41%,"27,26€","46,38€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Thickness"": "" Regular "", ""Patterns"": "" Animal,Floral "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.5300kg "", ""Package Contents"": "" 1 x Hoodie """,2
473359205,https://www.dresslily.com/balls-3d-print-kangaroo-pocket-product8354153.html,Balls 3D Print Kangaroo Pocket Hoodie,43%,"23,50€","41,25€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" 3D Print "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.4900kg "", ""Package Contents"": "" 1 x Hoodie """,1
459550801,https://www.dresslily.com/splatter-paint-hand-graphic-front-product8195091.html,Splatter Paint Hand Graphic Front Pocket Drawstring Hoodie,44%,"23,50€","42,01€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Spandex "", ""Thickness"": "" Regular "", ""Patterns"": "" Paint Splatter "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.4260kg "", ""Package Contents"": "" 1 x Hoodie  """,9
459245106,https://www.dresslily.com/striped-raglan-sleeve-zip-up-product8191569.html,Striped Raglan Sleeve Zip Up Hoodie,53%,"27,26€","58,27€",1,"""Clothes Type"": "" Hoodie Jacket "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester "", ""Thickness"": "" Regular "", ""Closure Type"": "" Zipper "", ""Patterns"": "" Chevron/Zig Zag,Stripe "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.6080kg "", ""Package Contents"": "" 1 x Hoodie  """,4
456153005,https://www.dresslily.com/button-kangaroo-pocket-fleece-hoodie-product8177942.html,Button Kangaroo Pocket Fleece Hoodie,36%,"23,50€","36,94€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Cotton,Polyester "", ""Thickness"": "" Regular "", ""Closure Type"": "" Button "", ""Patterns"": "" Solid "", ""Season"": "" Fall,Spring,Winter "", ""Weight"": "" 0.4300kg "", ""Package Contents"": "" 1 x Hoodie  """,1
455767708,https://www.dresslily.com/two-tone-color-panel-pullover-product8177933.html,Two Tone Color Panel Pullover Hoodie,51%,"23,50€","48,38€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily,Going Out "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Cotton,Polyester "", ""Thickness"": "" Regular "", ""Patterns"": "" Color Block "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.4800kg "", ""Package Contents"": "" 1 x Hoodie """,1
